sim_id,n_participants,decision_0_10s,decision_10_20s,decision_20_60s,h2_supported,overall_decision,hdi_0_10s_lower,hdi_0_10s_upper,hdi_10_20s_lower,hdi_10_20s_upper,hdi_20_60s_lower,hdi_20_60s_upper,mean_0_10s,mean_10_20s,mean_20_60s
1,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.3572797393840855,0.47468467596204506,-0.05412105511701454,0.059122245455977884,-0.05116246270925123,0.061459661796611,0.4159073108326062,0.003231502574950726,0.004897057094263564
2,30,PRESENT,ABSENT,UNDECIDED,FALSE,UNDECIDED,0.3168037468415424,0.4316513359820795,-0.05022275604272147,0.06326862288986546,-0.0016821028121233317,0.10879265750069889,0.37903547768261653,0.005755842443879105,0.05337428723125723
2,45,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.32197094474472177,0.4100406999151403,-0.018187121624047564,0.0726908269329481,-0.012182576445990911,0.0851910038944933,0.36738432632085766,0.02649406257180307,0.043610915797542796
3,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.30288491940117923,0.4240378943327313,-0.031473325578731115,0.07819056578897365,-0.07171245915612984,0.045296649516108345,0.3666399677711145,0.027770908915042032,-0.013215408931818981
4,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.3122134548848795,0.42358444605952345,-0.09431042339620271,0.028760466334094348,-0.04141948407884194,0.0724949383300536,0.366121996727853,-0.027069276309487064,0.014525419975166216
5,30,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.3716848471301621,0.4824098507979594,0.02769885689930801,0.1413337810996793,-0.03131999379507894,0.08443495235031817,0.42653921880708445,0.07609316896704503,0.021373770207670978
6,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.3250914258193276,0.43493760012962795,-0.024250532150441095,0.09009490041667395,-0.07058489018489644,0.03977997522248444,0.37791595026870767,0.032221132294203446,-0.012474864975870322
7,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.2859603253032181,0.39337320280677013,-0.019333878001286664,0.09582164094203313,-0.05107246053758341,0.06766294342338403,0.33476618868031044,0.03521600016250564,0.01690037535680553
8,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.3447614739525079,0.4573601603105087,-0.07249975303077139,0.04264386050243846,-0.0678346096046919,0.043495205615656674,0.3980041181935964,-0.015739263811469624,-0.01237338208708658
9,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.35067073428092443,0.4660765653346372,-0.03207523458776185,0.08468672177610531,-0.06475266447710093,0.05000675221249623,0.4113388921490013,0.030592952048565426,-0.002542307818826333
10,30,PRESENT,ABSENT,UNDECIDED,FALSE,UNDECIDED,0.31674933807333955,0.4320671977480579,-0.025432494243321613,0.09741252332239597,-0.10992145554089999,0.005553820060027359,0.37520768760929346,0.031064346503005765,-0.056111247016807746
10,45,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.3611839756296601,0.4565797904957957,-0.030697103499475797,0.061917674194226835,-0.08084629498097728,0.016597564196101533,0.4095224522073423,0.012028138520357792,-0.028749119824538434
11,30,PRESENT,ABSENT,ABSENT,TRUE,DECIDED,0.31079370605619727,0.4242444730171003,-0.046176887308969516,0.07334435703644954,-0.05271456174453404,0.06101595703191681,0.3704629084880632,0.015081158264139746,0.005680343215955473
12,30,PRESENT,ABSENT,UNDECIDED,FALSE,UNDECIDED,0.31477041424101454,0.43024759424427544,-0.01683373411657807,0.09507986737099638,-0.10183996193631989,0.009709902704255258,0.37811613745800887,0.03685202074277145,-0.04393533069127037
